County,"County adult jail incarcerations, average daily population, December",Men imprisoned (total institution population),Women imprisoned,Imprisonments for violent felonies,Imprisonments for property felonies,Imprisonments for drug felonies,Imprisonments for drug possession offenses,Imprisonments for marijuana offenses,Imprisonments for strike offenses,Imprisonments for 3rd strikes,Imprisonments for 2nd strikes,"New felon and parole violator admissions to prison, all","New felon and parole violator admissions to prison, White, not Latino","New felon and parole violator admissions to prison, Latino","New felon and parole violator admissions to prison, Black","New felon and parole violator admissions to prison, Asian/all other","Jailed, unsentenced","Jailed, sentenced",Men jailed,Women jailed,Part I crimes reported to police (number),Violent crimes reported,Property crimes reported,"Adult felony arrests, total (number)",Violent felony arrests,Property felony arrests,Drug felony arrests,Male felony arrests,Female felony arrests,"White, not Latino, felony arrests",Latino felony arrests,African American felony arrests,Asian/other felony arrests,"Total county population, all ages (number), 2011 census adjusted","White, not Latino population",Latino population,Black population,Asian/other population,"Total adult population, age 18-69","Male population, age 18-69","Female population, age 18-69",At Legislative Analyst-estimated cost per prisoner per year,Unnamed: 43,Year,Total adult population in prison (number) as of December 31,"White, not Latino, population imprisoned",Latino population imprisoned,Black population imprisoned,Asian/other population imprisoned,"New felon and parole violator admissions to prison, male","New felon and parole violator admissions to prison, female",New felon and parole violator admissions to prison for violent offenses,New felon and parole violator admissions to prison for property offenses,New felon and parole violator admissions to prison for drug offenses,"Part I crimes reported to police (number), as defined by the California Crime Index (CCI)","Property crimes reported (excluding larceny under $400 and arson, per CCI)","Total county population, all ages (number), using Dept. of Finance table E-2","White, not Latino population age 18-69",Latino population age 18-69,Black population age 18-69,Asian/other population age 18-69,"Total adult population, age 18-69, using Dept. of Finance table P-3",Unnamed: 53,"Imprisonments for 3rd strikes (June 30, 2013)","Imprisonments for 2nd strikes (June 30, 2013)","Part I crimes reported to police (number), as defined by the Criminal Justice Statistics Center","Total county population, all ages (number), July 1, 2013","At Legislative Analyst-estimated cost per prisoner per year, 2013-14","New felon and parole violator admissions to prison, Asian/all other/unknown race","Total county population, all ages (number), July 1, 2014","At Legislative Analyst-estimated cost per prisoner per year, 2014-15",New felon and parole violator admissions to prison who are under age 35 (2014),New felon and parole violator admissions to prison who are age 35 or older (2014),"Total county population, all ages (number), July 1, 2015","Estimated cost per prisoner per year, 2015-16","Total county population, all ages (number), July 1, 2016","Estimated cost per prisoner per year, 2016-17"
Sonoma,1008.0,977.0,49.0,723.0,161.0,54.0,23.0,1.0,231.0,27.0,204.0,240.0,105.0,90.0,19.0,26.0,453.0,555.0,875.0,133.0,,1792.0000000000005,,4579.0,1186.0,919.9999999999992,1789.0,3500.0,1079.0,2998.000000000002,1049.0000000000002,309.00000000000017,223.00000000000003,,,,,,,167554.4046567802,169050.5953432198,,,2012,1026.0,465.0,357.0,113.0,91.0,230.0,10.0,130.0,51.0,11.0,6243.000000000007,4451.000000000007,488487.0,229421.0,78024.0,5439.0,23721.0,336605.0,,,,,,,,,,,,,,,
Stanislaus,1141.0,1763.0,81.0,1052.0,382.0,266.0,144.0,3.0,610.0,114.0,496.0,579.0,249.0,227.0,65.0,38.0,888.0,253.0,1002.0,139.0,,2875.0,,8799.0,1766.0,2205.0,2616.0,6930.0,1869.0,4545.000000000001,3216.9999999999995,660.0000000000002,377.0000000000001,,,,,,,168050.19841340088,170237.80158659912,,,2012,1844.0,767.0,706.0,239.0,132.0,558.0,21.0,231.0,165.0,102.0,15695.999999999987,12820.999999999987,523197.0,168346.0,133387.0,8071.0,28484.0,338288.0,,,,,,,,,,,,,,,
Sutter,227.0,255.0,10.0,182.0,37.0,23.0,5.0,0.0,27.0,7.0,20.0,90.0,60.0,20.0,5.0,5.0,189.0,38.0,193.0,34.0,,318.0,,1095.0,337.0,339.0,234.0,785.0,310.0,657.9999999999999,273.0,78.99999999999999,84.99999999999999,,,,,,,30621.36364481837,30625.63635518163,,,2012,265.0,139.0,85.0,22.0,19.0,85.0,5.0,45.0,24.0,4.0,1982.0,1664.0,96687.0,32152.0,16627.0,1223.0,11245.0,61247.0,,,,,,,,,,,,,,,
Tehama,192.0,344.0,25.0,208.0,54.0,64.0,13.0,4.0,121.0,26.0,95.0,120.0,90.0,23.0,2.0,5.0,111.0,81.0,164.0,28.0,,354.00000000000006,,1190.0,202.0,279.0,482.0,864.0,326.0,892.0000000000003,230.99999999999997,23.000000000000007,43.99999999999999,,,,,,,20480.384975958965,20449.615024041035,,,2012,369.0,259.0,80.0,16.0,14.0,109.0,11.0,63.0,22.0,12.0,1170.9999999999998,816.9999999999998,63336.0,29920.0,8515.0,229.0,2266.0,40930.0,,,,,,,,,,,,,,,
Trinity,61.0,46.0,2.0,29.0,4.0,5.0,4.0,0.0,11.0,4.0,7.0,16.0,15.0,1.0,0.0,0.0,31.0,30.0,52.0,9.0,,20.999999999999996,,407.0,92.0,40.0,182.0,311.0,96.0,348.00000000000006,24.0,11.0,24.0,,,,,,,4835.4409433437195,4471.5590566562805,,,2012,48.0,38.0,1.0,5.0,4.0,14.0,2.0,5.0,2.0,2.0,151.0,130.0,13432.0,7674.0,706.0,31.0,896.0,9307.0,,,,,,,,,,,,,,,
Tulare,1663.0,2205.0,104.0,1585.0,332.0,211.0,65.0,5.0,688.0,108.0,580.0,444.0,123.0,276.0,25.0,20.0,958.0,705.0,1449.0,214.0,,2100.000000000001,,6620.0,1622.0,1644.0,1918.0,5078.0,1542.0,2093.0000000000005,3954.000000000001,363.0,210.00000000000003,,,,,,,140706.28636846432,138018.71363153568,,,2012,2309.0,560.0,48.0,152.0,100.0,410.0,34.0,199.0,110.0,77.0,11244.999999999996,9144.999999999996,452473.0,98164.0,161787.0,3807.0,14967.0,278725.0,,,,,,,,,,,,,,,
Tuolumne,137.0,202.0,12.0,124.0,31.0,30.0,12.0,0.0,77.0,6.0,71.0,46.0,41.0,2.0,1.0,2.0,95.0,42.0,109.0,28.0,,104.99999999999991,,855.0,141.0,155.0,295.0,575.0,280.0,748.9999999999999,72.0,14.000000000000004,20.000000000000004,,,,,,,20213.833878938414,17067.166121061586,,,2012,214.0,180.0,17.0,4.0,13.0,45.0,1.0,20.0,11.0,3.0,889.9999999999999,785.0,54101.0,29999.0,4324.0,1060.0,1898.0,37281.0,,,,,,,,,,,,,,,
Ventura,1663.0,1657.0,73.0,1213.0,212.0,175.0,60.0,2.0,476.0,76.0,400.0,420.0,115.0,260.0,32.0,13.0,969.0,694.0,1429.0,234.0,,1663.9999999999995,,7731.0,1783.0,1730.0,2440.0,5974.0,1757.0,3188.9999999999995,3931.999999999999,404.0,206.00000000000017,,,,,,,279142.2106264129,278349.7893735871,,,2012,1730.0,503.0,999.0,171.0,57.0,392.0,28.0,198.0,89.0,65.0,10157.000000000004,8493.000000000004,833366.0,278510.0,217652.0,9682.0,51648.0,557492.0,,,,,,,,,,,,,,,
Yolo,434.0,740.0,29.0,440.0,140.0,120.0,31.0,7.0,288.0,30.0,258.0,246.0,89.0,106.0,33.0,18.0,274.0,160.0,382.0,52.0,,556.0000000000002,,2072.0,437.0,421.0,603.0,1616.0,456.0,1079.0,651.0,215.0,127.0,,,,,,,70912.2950287974,74544.7049712026,,,2012,769.0,273.0,304.0,125.0,67.0,232.0,14.0,117.0,55.0,27.0,3747.9999999999977,3191.9999999999973,205025.0,74066.0,40042.0,4063.0,27286.0,145457.0,,,,,,,,,,,,,,,
Yuba,409.0,373.0,12.0,285.0,44.0,24.0,5.0,1.0,79.0,15.0,64.0,148.0,97.0,23.0,21.0,7.0,323.0,86.0,362.0,47.0,,285.0,,1302.0,376.0,354.0,288.0,983.0,319.0,869.9999999999998,211.0,148.00000000000003,73.0,,,,,,,23822.234838932323,23475.765161067677,,,2012,385.0,247.0,70.0,44.0,24.0,143.0,5.0,82.0,33.0,10.0,1513.0,1228.0,73156.0,29543.0,10495.0,1477.0,5783.0,47298.0,,,,,,,,,,,,,,,
Alameda,3351.0,3524.0,127.0,3321.0,209.0,33.0,5.0,3.0,630.0,,,687.0,64.0,154.0,411.0,58.0,2605.0,746.0,3045.0,306.0,,11739.0,60133.0,12501.000000000004,2817.0000000000005,3201.000000000002,4218.0,9916.0,2585.0000000000027,3323.0000000000005,2667.999999999998,5358.000000000004,1152.0,,,,,,,537699.0,555530.0,,,2013,3651.0,342.0,594.0,2427.0,288.0,661.0,26.0,484.0,90.0,22.0,,,,379430.0,237915.0,132186.0,343698.0,1093229.0,,133.0,497.0,71872.0,1574688.0,59919.0,,,,,,,,,
Alpine,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.0,33.0,12.0,2.0,0.0,3.000000000000001,12.0,0.0,8.0,2.0,1.0,1.0,,,,,,,442.0,393.0,,,2013,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,603.0,55.0,0.0,177.0,835.0,,0.0,0.0,39.0,1164.0,,,,,,,,,,
Amador,92.0,152.0,4.0,84.0,17.0,29.0,18.0,2.0,53.0,,,61.0,43.0,11.0,5.0,2.0,42.0,50.0,72.0,20.0,,100.0,798.0,507.0000000000001,80.99999999999997,66.00000000000003,175.00000000000006,340.00000000000006,167.00000000000003,371.0000000000001,65.0,23.0,47.99999999999999,,,,,,,14630.0,10835.0,,,2013,156.0,102.0,28.0,9.0,17.0,56.0,5.0,24.0,12.0,12.0,,,,19648.0,3460.0,889.0,1468.0,25465.0,,11.0,42.0,898.0,37582.0,,,,,,,,,,
Butte,589.0,920.0,53.0,609.0,133.0,129.0,65.0,8.0,144.0,,,341.0,232.0,45.0,38.0,26.0,369.0,220.0,512.0,77.0,,634.0,6223.0,2778.0000000000005,568.9999999999999,569.0000000000003,1114.0000000000002,2076.0,702.0000000000003,2194.999999999999,301.0,160.0,122.0,,,,,,,76540.0,75513.0,,,2013,973.0,638.0,150.0,118.0,67.0,307.0,34.0,143.0,57.0,68.0,,,,115581.0,20797.0,2207.0,13468.0,152053.0,,42.0,102.0,6857.0,222113.0,,,,,,,,,,
Calaveras,72.0,96.0,6.0,57.0,25.0,11.0,5.0,1.0,14.0,,,43.0,36.0,4.0,1.0,2.0,39.0,33.0,63.0,9.0,,130.0,1080.0,557.9999999999999,132.99999999999994,105.0,155.00000000000003,410.9999999999999,147.00000000000003,479.99999999999983,51.99999999999999,7.999999999999999,18.0,,,,,,,14997.0,14948.0,,,2013,102.0,77.0,17.0,1.0,7.0,38.0,5.0,13.0,13.0,8.0,,,,24942.0,3067.0,257.0,1679.0,29945.0,,1.0,13.0,1210.0,45116.0,,,,,,,,,,
Colusa,69.0,63.0,3.0,48.0,10.0,2.0,1.0,0.0,8.0,,,23.0,10.0,10.0,3.0,0.0,45.0,24.0,55.0,14.0,,43.0,535.0,339.0,58.0,52.00000000000001,46.000000000000014,249.0,90.00000000000001,160.00000000000006,117.0,36.0,26.000000000000007,,,,,,,7157.0,6735.0,,,2013,66.0,30.0,29.0,5.0,2.0,23.0,0.0,8.0,7.0,1.0,,,,5505.0,7635.0,122.0,630.0,13892.0,,2.0,6.0,578.0,21972.0,,,,,,,,,,
Contra Costa,1535.0,1724.0,53.0,1523.0,144.0,51.0,9.0,0.0,312.0,,,358.0,99.0,94.0,140.0,25.0,1201.0,334.0,1378.0,157.0,,3961.0,31351.0,10920.999999999987,2109.0000000000023,3037.9999999999964,3538.0,8576.999999999993,2343.999999999997,4518.000000000002,2171.999999999999,3584.000000000001,646.9999999999999,,,,,,,356140.0,372518.0,,,2013,1777.0,443.0,365.0,838.0,131.0,338.0,20.0,220.0,71.0,24.0,,,,346593.0,175201.0,66047.0,140817.0,728658.0,,78.0,234.0,35312.0,1089243.0,,,,,,,,,,
Del Norte,81.0,121.0,6.0,80.0,15.0,9.0,2.0,1.0,17.0,,,34.0,20.0,4.0,0.0,10.0,38.0,43.0,61.0,20.0,,175.0,589.0,588.0000000000001,204.0,82.00000000000004,175.00000000000003,403.0000000000001,185.0,449.0,32.0,11.0,96.0,,,,,,,11672.0,8163.0,,,2013,127.0,81.0,14.0,10.0,22.0,32.0,2.0,18.0,5.0,5.0,,,,12603.0,3698.0,1034.0,2500.0,19835.0,,6.0,11.0,764.0,27507.0,,,,,,,,,,
El Dorado,347.0,370.0,29.0,260.0,71.0,39.0,16.0,1.0,103.0,,,123.0,99.0,15.0,3.0,6.0,196.0,151.0,291.0,56.0,,390.0,3272.0,1925.9999999999995,431.00000000000034,320.0000000000001,620.9999999999995,1413.9999999999998,511.9999999999999,1589.000000000001,184.99999999999997,71.99999999999997,80.0,,,,,,,62932.0,62353.0,,,2013,399.0,305.0,50.0,17.0,27.0,112.0,11.0,50.0,34.0,14.0,,,,101271.0,14295.0,913.0,8806.0,125285.0,,16.0,87.0,3662.0,182228.0,,,,,,,,,,
Fresno,2918.0,3927.0,184.0,2886.0,551.0,266.0,185.0,11.0,1186.0,,,1556.0,307.0,888.0,281.0,80.0,2003.0,915.0,2690.0,228.0,,4868.0,36698.0,21412.000000000025,3643.999999999998,3462.9999999999995,5495.000000000001,16732.000000000025,4679.999999999998,5467.000000000002,11741.999999999998,2982.999999999998,1220.0000000000002,,,,,,,309208.0,304543.0,,,2013,4111.0,820.0,2124.0,878.0,289.0,1453.0,103.0,753.0,328.0,181.0,,,,207966.0,300883.0,30839.0,74063.0,613751.0,,193.0,993.0,41566.0,959455.0,,,,,,,,,,
Glenn,105.0,105.0,4.0,70.0,17.0,11.0,3.0,0.0,31.0,,,35.0,24.0,8.0,1.0,2.0,69.0,36.0,91.0,14.0,,151.0,714.0,429.00000000000006,99.99999999999996,69.0,118.99999999999996,334.00000000000006,95.0,237.0,136.99999999999994,17.0,37.99999999999999,,,,,,,9259.0,8858.0,,,2013,109.0,60.0,33.0,2.0,14.0,33.0,2.0,20.0,4.0,6.0,,,,10091.0,6778.0,143.0,1105.0,18117.0,,2.0,29.0,865.0,28684.0,,,,,,,,,,
Humboldt,361.0,379.0,20.0,303.0,44.0,34.0,12.0,4.0,51.0,,,114.0,75.0,3.0,4.0,32.0,238.0,123.0,310.0,51.0,,474.0,4984.0,2361.000000000001,449.0000000000005,487.00000000000006,798.0000000000005,1761.000000000001,600.0000000000001,1945.0,106.00000000000009,82.00000000000001,228.00000000000009,,,,,,,49445.0,47248.0,,,2013,399.0,266.0,29.0,17.0,87.0,108.0,6.0,55.0,25.0,16.0,,,,75983.0,9092.0,1116.0,10502.0,96693.0,,6.0,45.0,5458.0,134646.0,,,,,,,,,,
Imperial,488.0,339.0,9.0,210.0,54.0,57.0,28.0,2.0,66.0,,,132.0,15.0,105.0,7.0,5.0,269.0,219.0,428.0,60.0,,517.0,5698.0,2758.999999999998,528.0000000000002,629.0000000000002,990.9999999999992,2200.999999999998,558.0000000000001,484.0,2024.000000000001,182.0,69.00000000000003,,,,,,,60204.0,54797.0,,,2013,348.0,51.0,254.0,30.0,13.0,128.0,4.0,53.0,29.0,34.0,,,,16179.0,90600.0,4547.0,3675.0,115001.0,,11.0,55.0,6215.0,180047.0,,,,,,,,,,
Inyo,74.0,39.0,2.0,29.0,6.0,2.0,0.0,0.0,7.0,,,11.0,3.0,0.0,0.0,8.0,31.0,43.0,65.0,9.0,,75.0,308.0,211.99999999999997,73.99999999999996,34.0,73.99999999999997,162.99999999999997,49.0,107.0,59.99999999999999,3.0,42.0,,,,,,,6523.0,6110.0,,,2013,41.0,20.0,4.0,0.0,17.0,11.0,0.0,6.0,3.0,0.0,,,,8440.0,2362.0,90.0,1741.0,12633.0,,1.0,6.0,383.0,18585.0,,,,,,,,,,
Kern,2535.0,3872.0,174.0,2293.0,682.0,575.0,323.0,15.0,1434.0,,,1485.0,448.0,705.0,301.0,31.0,1692.0,843.0,2237.0,298.0,,4969.0,33382.0,15421.99999999999,3765.9999999999977,3577.0,4863.000000000001,12230.999999999993,3190.999999999998,6156.999999999999,6808.0,2214.000000000002,243.00000000000003,,,,,,,298662.0,264725.0,,,2013,4046.0,1149.0,1855.0,926.0,116.0,1382.0,103.0,481.0,407.0,284.0,,,,222031.0,271234.0,32533.0,37589.0,563387.0,,363.0,1071.0,38351.0,867825.0,,,,,,,,,,
Kings,603.0,1385.0,98.0,884.0,154.0,262.0,172.0,8.0,468.0,,,480.0,102.0,272.0,82.0,24.0,286.0,317.0,496.0,107.0,,725.0,3723.0,2200.9999999999995,509.99999999999983,369.9999999999999,639.9999999999998,1660.9999999999995,539.9999999999999,713.9999999999999,1142.0000000000002,225.00000000000003,120.0,,,,,,,62161.0,41468.0,,,2013,1483.0,352.0,790.0,268.0,73.0,406.0,74.0,225.0,78.0,86.0,,,,38036.0,51042.0,8282.0,6269.0,103629.0,,129.0,339.0,4448.0,150128.0,,,,,,,,,,
Lake,317.0,296.0,15.0,206.0,30.0,43.0,25.0,2.0,59.0,,,125.0,86.0,20.0,13.0,6.0,160.0,157.0,266.0,51.0,,356.0,1833.0,1295.0,309.9999999999999,161.00000000000006,519.0,953.0,342.0,977.0000000000002,171.0,53.0,94.0,,,,,,,21732.0,21466.0,,,2013,311.0,203.0,39.0,32.0,37.0,118.0,7.0,64.0,14.0,29.0,,,,32349.0,7100.0,787.0,2962.0,43198.0,,10.0,49.0,2189.0,64548.0,,,,,,,,,,
Lassen,125.0,150.0,4.0,90.0,13.0,24.0,16.0,1.0,35.0,,,31.0,24.0,1.0,4.0,2.0,41.0,84.0,101.0,24.0,,127.0,576.0,379.0,109.0,70.00000000000001,92.00000000000004,292.0,87.0,292.00000000000006,42.0,12.999999999999998,32.0,,,,,,,18206.0,8526.0,,,2013,154.0,82.0,38.0,23.0,11.0,31.0,0.0,17.0,5.0,3.0,,,,16916.0,5233.0,2867.0,1716.0,26732.0,,16.0,19.0,703.0,32299.0,,,,,,,,,,
Los Angeles,18486.0,43905.0,2051.0,32891.0,5937.0,4017.0,1926.0,167.0,15636.0,,,11127.0,1303.0,5054.0,3728.0,1042.0,10038.0,8448.0,15920.0,2566.0,,40384.0,228419.0,102730.00000000004,24843.000000000025,24602.999999999953,35113.000000000044,81729.00000000006,21000.99999999997,21006.000000000007,51850.999999999905,25005.0,4868.000000000005,,,,,,,3412633.0,3458857.0,,,2013,45956.0,4701.0,20854.0,17230.0,3171.0,10369.0,758.0,4737.0,2657.0,1967.0,,,,1942787.0,3217805.0,580375.0,1130523.0,6871490.0,,3088.0,12548.0,268803.0,10056433.0,,,,,,,,,,
Madera,450.0,499.0,92.0,381.0,86.0,74.0,39.0,1.0,190.0,,,200.0,44.0,100.0,15.0,41.0,399.0,51.0,391.0,59.0,,1017.0,3934.0,1717.0,386.0000000000001,351.0,461.00000000000006,1384.0,332.99999999999994,587.0000000000001,955.0,125.99999999999996,48.99999999999998,,,,,,,46666.0,52073.0,,,2013,591.0,148.0,303.0,83.0,57.0,186.0,14.0,84.0,44.0,29.0,,,,37701.0,52045.0,4184.0,4809.0,98739.0,,40.0,150.0,4951.0,152026.0,,,,,,,,,,
Marin,292.0,283.0,14.0,206.0,53.0,13.0,7.0,1.0,111.0,,,54.0,23.0,10.0,19.0,2.0,225.0,67.0,250.0,42.0,,491.0,5012.0,1651.0000000000002,406.00000000000045,399.0000000000003,583.9999999999998,1291.0000000000002,360.00000000000006,909.0,359.0,310.00000000000006,73.0,,,,,,,85921.0,86944.0,,,2013,297.0,136.0,53.0,83.0,25.0,46.0,8.0,31.0,14.0,3.0,,,,122589.0,29165.0,5404.0,15707.0,172865.0,,39.0,72.0,5503.0,258248.0,,,,,,,,,,
Mariposa,50.0,60.0,2.0,42.0,9.0,1.0,0.0,0.0,20.0,,,19.0,15.0,2.0,0.0,2.0,30.0,20.0,42.0,8.0,,84.0,306.0,249.0,79.00000000000004,39.0,80.00000000000001,192.0,57.000000000000014,194.0,30.000000000000004,7.0,18.0,,,,,,,6239.0,5919.0,,,2013,62.0,50.0,3.0,2.0,7.0,18.0,1.0,10.0,4.0,1.0,,,,10034.0,1113.0,126.0,885.0,12158.0,,6.0,14.0,390.0,18154.0,,,,,,,,,,
Mendocino,237.0,313.0,15.0,234.0,22.0,29.0,7.0,3.0,47.0,,,115.0,67.0,18.0,9.0,21.0,152.0,85.0,198.0,39.0,,472.0,1851.0,1536.0000000000005,428.0,277.0000000000001,532.0000000000001,1185.0000000000005,351.00000000000006,1052.0000000000002,247.0,61.000000000000014,175.99999999999997,,,,,,,30459.0,29435.0,,,2013,328.0,191.0,55.0,19.0,63.0,109.0,6.0,58.0,13.0,18.0,,,,41759.0,12736.0,446.0,4953.0,59894.0,,4.0,43.0,2323.0,88098.0,,,,,,,,,,
Merced,706.0,906.0,27.0,637.0,133.0,70.0,30.0,4.0,271.0,,,356.0,84.0,172.0,36.0,64.0,627.0,79.0,631.0,75.0,,1555.0,8096.0,3229.000000000001,735.0,760.9999999999998,1032.0000000000005,2580.0000000000005,649.0000000000002,1078.0000000000005,1645.0000000000002,368.0,138.0,,,,,,,84604.0,82238.0,,,2013,933.0,222.0,478.0,129.0,104.0,344.0,12.0,167.0,70.0,45.0,,,,55033.0,89408.0,6056.0,16345.0,166842.0,,34.0,237.0,9651.0,264652.0,,,,,,,,,,
Modoc,29.0,23.0,2.0,21.0,2.0,2.0,1.0,0.0,7.0,,,12.0,8.0,1.0,1.0,2.0,15.0,14.0,25.0,4.0,,69.0,168.0,221.0,58.000000000000014,40.00000000000003,61.00000000000001,171.99999999999997,49.000000000000014,160.00000000000003,30.000000000000004,2.0000000000000004,28.999999999999996,,,,,,,3131.0,3083.0,,,2013,25.0,13.0,5.0,1.0,6.0,10.0,2.0,10.0,1.0,1.0,,,,4804.0,901.0,69.0,440.0,6214.0,,2.0,5.0,237.0,9603.0,,,,,,,,,,
Mono,36.0,21.0,2.0,16.0,3.0,0.0,0.0,0.0,5.0,,,7.0,4.0,1.0,0.0,2.0,18.0,18.0,29.0,7.0,,29.0,221.0,157.99999999999997,30.000000000000018,16.999999999999993,82.00000000000001,122.99999999999996,35.00000000000001,108.0,27.999999999999993,3.0,19.0,,,,,,,5551.0,4808.0,,,2013,23.0,10.0,9.0,0.0,4.0,6.0,1.0,6.0,0.0,0.0,,,,7325.0,2478.0,37.0,519.0,10359.0,,0.0,5.0,250.0,13903.0,,,,,,,,,,
Monterey,942.0,1575.0,70.0,1156.0,179.0,151.0,49.0,4.0,484.0,,,465.0,78.0,256.0,35.0,96.0,714.0,228.0,816.0,126.0,,1794.0,10940.0,3682.999999999999,985.9999999999998,841.0000000000005,1018.9999999999987,2813.999999999999,868.9999999999999,1000.0,2285.9999999999977,261.0,135.99999999999997,,,,,,,148179.0,133822.0,,,2013,1645.0,281.0,1018.0,193.0,153.0,424.0,41.0,219.0,92.0,60.0,,,,93096.0,155504.0,8670.0,24731.0,282001.0,,42.0,442.0,12734.0,425860.0,,,,,,,,,,
Napa,238.0,302.0,8.0,217.0,41.0,24.0,8.0,2.0,93.0,,,96.0,41.0,31.0,18.0,6.0,175.0,63.0,206.0,32.0,,417.0,2574.0,1686.0,326.0000000000001,360.99999999999994,414.9999999999999,1279.0,407.0,882.0,462.0000000000003,251.00000000000009,90.99999999999996,,,,,,,47793.0,46102.0,,,2013,310.0,146.0,105.0,37.0,22.0,95.0,1.0,51.0,18.0,9.0,,,,52030.0,30659.0,2028.0,9178.0,93895.0,,21.0,72.0,2991.0,139395.0,,,,,,,,,,
Nevada,222.0,101.0,4.0,76.0,13.0,4.0,3.0,0.0,23.0,,,36.0,33.0,2.0,0.0,1.0,198.0,24.0,177.0,45.0,,433.0,1788.0,801.9999999999999,164.0,141.00000000000003,313.99999999999994,622.9999999999999,179.00000000000003,718.9999999999999,42.0,18.000000000000004,23.000000000000004,,,,,,,33036.0,33332.0,,,2013,105.0,90.0,8.0,1.0,6.0,34.0,2.0,18.0,7.0,3.0,,,,57466.0,5586.0,279.0,3037.0,66368.0,,6.0,17.0,2221.0,97632.0,,,,,,,,,,
Orange,7242.0,6511.0,264.0,4926.0,890.0,526.0,235.0,11.0,1616.0,,,1750.0,570.0,906.0,149.0,125.0,3987.0,3255.0,6231.0,1011.0,,6042.0,61650.0,23797.999999999993,4709.000000000004,5698.999999999997,9771.000000000013,18157.99999999999,5640.000000000005,10605.000000000004,9816.999999999998,1459.0000000000002,1917.0,,,,,,,1051347.0,1060015.0,,,2013,6775.0,1703.0,3755.0,664.0,653.0,1640.0,110.0,734.0,455.0,362.0,,,,927744.0,690119.0,34337.0,459162.0,2111362.0,,328.0,1288.0,67692.0,3113370.0,,,,,,,,,,
Placer,641.0,640.0,35.0,383.0,144.0,80.0,32.0,6.0,286.0,,,219.0,157.0,24.0,21.0,17.0,416.0,225.0,553.0,88.0,,660.0,7209.0,4010.0,640.0000000000001,1049.0000000000002,1397.000000000001,2875.0,1135.0000000000002,2947.9999999999995,545.0000000000001,319.00000000000017,198.00000000000009,,,,,,,116996.0,121440.0,,,2013,675.0,481.0,81.0,61.0,52.0,204.0,15.0,88.0,64.0,36.0,,,,182265.0,32119.0,3320.0,20732.0,238436.0,,49.0,237.0,7869.0,364372.0,,,,,,,,,,
Plumas,44.0,40.0,1.0,32.0,5.0,3.0,2.0,1.0,9.0,,,11.0,7.0,2.0,0.0,2.0,19.0,25.0,39.0,5.0,,92.0,390.0,235.0,66.0,42.00000000000002,63.99999999999997,182.0,53.0,199.00000000000003,21.0,2.0,13.000000000000004,,,,,,,6572.0,6632.0,,,2013,41.0,34.0,3.0,2.0,2.0,10.0,1.0,6.0,3.0,1.0,,,,11217.0,1016.0,149.0,822.0,13204.0,,0.0,9.0,482.0,19769.0,,,,,,,,,,
Riverside,3923.0,9397.0,535.0,6685.0,1503.0,1029.0,573.0,28.0,3389.0,,,2842.0,825.0,1321.0,614.0,82.0,2724.0,1199.0,3464.0,459.0,,6203.0,65134.0,21473.999999999975,4440.999999999997,5234.0000000000055,7566.000000000012,16493.999999999978,4980.0,8379.999999999995,9293.999999999998,3119.9999999999977,679.9999999999999,,,,,,,733236.0,732076.0,,,2013,9932.0,2658.0,4570.0,2328.0,376.0,2604.0,238.0,1279.0,724.0,445.0,,,,582262.0,655594.0,94078.0,133378.0,1465312.0,,448.0,2941.0,71337.0,2276342.0,,,,,,,,,,
Sacramento,4225.0,6468.0,284.0,4980.0,741.0,448.0,177.0,19.0,2316.0,,,1641.0,447.0,293.0,610.0,291.0,2444.0,1781.0,3738.0,487.0,,7515.0,44326.0,17053.000000000015,4485.999999999999,3732.999999999996,5537.999999999994,13492.000000000016,3560.999999999999,6784.999999999994,3196.999999999999,5794.000000000003,1277.0000000000002,,,,,,,479085.0,493878.0,,,2013,6752.0,1806.0,1235.0,2926.0,785.0,1543.0,98.0,756.0,347.0,200.0,,,,484922.0,199710.0,98113.0,190218.0,972963.0,,515.0,1801.0,51841.0,1455343.0,,,,,,,,,,
San Benito,118.0,112.0,5.0,85.0,11.0,11.0,4.0,0.0,23.0,,,28.0,6.0,22.0,0.0,0.0,86.0,32.0,98.0,20.0,,245.0,792.0,503.0000000000001,155.00000000000003,84.00000000000003,147.99999999999994,391.00000000000006,112.00000000000004,141.99999999999997,347.00000000000006,4.000000000000001,10.0,,,,,,,18808.0,18920.0,,,2013,117.0,24.0,89.0,1.0,3.0,28.0,0.0,19.0,3.0,2.0,,,,15147.0,20513.0,296.0,1772.0,37728.0,,7.0,16.0,1037.0,56750.0,,,,,,,,,,
